identificador,CCID,Data / Entrega,Requisição,Cliente,Local de Entrega,Modelo,SLA de Inserção,SLA de Viagem,SLA de retirada,SLA / Envio ao Brasil,SLA da Operação,Data / Inserção,Data / Chegada no Destino,Data / Retirada,Data / Envio ao Brasil,Data / Brasil,BL,Container,Status / Operação,Reposição,Observação,latitude,longitude
787068,,2024-11-07,,VelosoGreen,Carmo do Paranaiba/MG,Tetis Dry,0.0,,,,,2024-11-07,,,,,,,Em viagem,Fora do Prazo,,,
787070,,2024-11-06,,CarmoCoffee,Tres Coraçoes/MG,Tetis Dry,0.0,63,1,15.0,,2024-11-06,2025-01-08,2025-01-09,2025-01-24,,,,Em reversa para o Brasil,Fora do Prazo,,,
789659,,,,BourbonCoffe,Poços de Caldas/MG,Tetis Dry,0.0,,,,,,,,,,,,Estoque Cliente,Fora do Prazo,,,
791122,,2024-06-14,,Cooxupe,Guaxupe/SP,Tetis Dry,0.0,84,75,8.0,189.0,2024-06-14,2024-09-06,2024-11-20,2024-11-28,2024-12-20,,,Reversa finalizada,Fora do Prazo,,,
791125,,2024-10-21,,Nkg,Varginha/MG,Tetis Dry,0.0,58,0,,,2024-10-21,2024-12-18,2024-12-18,,,,,"Retirado, Ag. Envio",Fora do Prazo,,,
791126,,2024-10-01,,Cooxupe,Guaxupe/SP,Tetis Dry,0.0,,,,,2024-10-01,,,,,,,Em viagem,Fora do Prazo,,,
791131,,2024-10-21,,BourbonCoffe,Poços de Caldas/MG,Tetis Dry,0.0,66,4,25.0,,2024-10-21,2024-12-26,2024-12-30,2025-01-24,,,,Em reversa para o Brasil,Fora do Prazo,,,
791132,,2024-07-23,,Nkg,Varginha/MG,Tetis Dry,135.0,,,,,2024-12-05,,,,,,,Em viagem,Fora do Prazo,,,
791136,,2024-09-02,,BourbonCoffe,Poços de Caldas/MG,Tetis Dry,0.0,65,,,,2024-09-02,2024-11-06,,,,,,No destino,Fora do Prazo,,,
791138,,2024-10-15,,VelosoGreen,Carmo do Paranaiba/MG,Tetis Dry,0.0,,,,,2024-10-15,,,,,,,Em viagem,Fora do Prazo,,,
791139,,2024-11-11,,Cooxupe,Guaxupe/SP,Tetis Dry,0.0,,,,,,,,,,,,Estoque Cliente,Fora do Prazo,,,
791140,,2024-11-13,,Nkg,Varginha/MG,Tetis Dry,0.0,,,,,2024-11-13,,,,,,,Em viagem,Fora do Prazo,,,
791141,,2024-11-29,,VelosoCoffee,Carmo do Paranaiba/MG,Tetis Dry,0.0,10,3,,,2024-11-29,2024-12-09,2024-12-12,,,,,"Retirado, Ag. Envio",Dentro do Prazo,,,
791142,,2024-09-13,,Volcafe,Varginha/MG,Tetis Dry,0.0,62,6,8.0,98.0,2024-09-13,2024-11-14,2024-11-20,2024-11-28,2024-12-20,,,Reversa finalizada,Fora do Prazo,,,
791143,,2024-08-30,,Cooxupe,Guaxupe/SP,Tetis Dry,0.0,80,,,,2024-08-30,2024-11-18,,,,,,No destino,Fora do Prazo,,,
791144,,2024-10-02,,Nkg,Varginha/MG,Tetis Dry,0.0,,,,,2024-10-02,,,,,,,Em viagem,Fora do Prazo,,,
791145,,2024-09-10,,Nkg,Varginha/MG,Tetis Dry,0.0,99,1,,,2024-09-10,2024-12-18,2024-12-19,,,,,"Retirado, Ag. Envio",Fora do Prazo,,,
791147,,2024-10-09,,BourbonCoffe,Poços de Caldas/MG,Tetis Dry,0.0,83,9,15.0,,2024-10-09,2024-12-31,2025-01-09,2025-01-24,,,,Em reversa para o Brasil,Fora do Prazo,,,
791148,,2024-11-20,,Nkg,Varginha/MG,Tetis Dry,3.0,31,367,-336.0,,2024-11-23,2024-12-24,2025-12-26,2025-01-24,,,,Em reversa para o Brasil,Dentro do Prazo,,,
791149,,2024-10-29,,Nkg,Varginha/MG,Tetis Dry,0.0,51,,,,2024-10-29,2024-12-19,,,,,,No destino,Fora do Prazo,,,
791150,,2024-10-10,,VelosoCoffee,Carmo do Paranaiba/MG,Tetis Dry,0.0,,,,,2024-10-10,,,,,,,Em viagem,Fora do Prazo,,,
791151,,2024-08-30,,Cooxupe,Guaxupe/SP,Tetis Dry,0.0,,,,,2024-08-30,,,,,,,Em viagem,Fora do Prazo,,,
791158,,2024-07-29,,Nkg,Varginha/MG,Tetis Dry,0.0,107,-1,,,2024-07-29,2024-11-13,2024-11-12,,,,,"Retirado, Ag. Envio",Fora do Prazo,,,
791169,,2024-11-13,,Nkg,Varginha/MG,Tetis Dry,0.0,,,,,2024-11-13,,,,,,,Em viagem,Fora do Prazo,,,
791171,,2024-08-15,,VelosoGreen,Carmo do Paranaiba/MG,Tetis Dry,0.0,,,,,2024-08-15,,,,,,,Em viagem,Fora do Prazo,,,
791172,,2024-11-06,,BourbonCoffe,Poços de Caldas/MG,Tetis Dry,0.0,,,,,2024-11-06,,,,,,,Em viagem,Fora do Prazo,,,
791174,,2024-11-06,,BourbonCoffe,Poços de Caldas/MG,Tetis Dry,0.0,,,,,2024-11-06,,,,,,,Em viagem,Fora do Prazo,,,
791175,,2024-10-17,,Nkg,Varginha/MG,Tetis Dry,0.0,,,,,2024-10-17,,,,,,,Em viagem,Fora do Prazo,,,
791177,,2024-11-25,,Cooxupe,Guaxupe/SP,Tetis Dry,4.0,,,,,2024-11-29,,,,,,,Em viagem,Dentro do Prazo,,,
