id;identificador;CCID;Data / Entrega;Requisição;Cliente;Local de Entrega;Modelo;SLA de Inserção;SLA de Viagem;SLA de retirada;SLA / Envio ao Brasil;SLA da Operação;Data / Inserção;Data / Chegada no Destino;Data / Retirada;Data / Envio ao Brasil;Data / Brasil;BL;Container;Status / Operação;Reposição;Observação;latitude;longitude;Data / Embarque Maritimo;Data / Desembarque Maritimo;SLA Terrestre;SLA Maritimo;Local;Status do Container;Data do Desembarque
150;510545;;11/11/2024;;BourbonCoffe;Poços de Caldas/MG;Tetis Dry;0;59;1;14,00;;11/11/2024;09/01/2025;10/01/2025;24/01/2025;;;;Em reversa para o Brasil;Fora do Prazo;;;;;;0;0;Porto de Antuérpia;Desembarcado;03/01/2025
151;510548;;20/04/2024;;CarmoCoffee;Tres Coraçoes/MG;Tetis Dry;0;;;;;20/04/2024;;;;;;;Em viagem;Fora do Prazo;;;;;;0;0;Porto de Antuérpia;Desembarcado;03/01/2025
152;510551;;11/11/2024;;Expocaccer;Patrocinio/MG;Tetis Dry;0;;;;;11/11/2024;;;;;;;Em viagem;Fora do Prazo;;;;;;0;0;Porto de Antuérpia;Desembarcado;06/02/2025
153;510557;;08/11/2024;;VelosoCoffee;Carmo do Paranaiba/MG;Tetis Dry;0;;;;;08/11/2024;;;;;;;Em viagem;Fora do Prazo;;;;;;0;0;Porto de Antuérpia;Desembarcado;06/02/2025
154;510561;;31/10/2024;;Nkg;Varginha/MG;Tetis Dry;0;46;2;;;31/10/2024;16/12/2024;18/12/2024;;;;;Retirado, Ag. Envio;Fora do Prazo;;;;;;0;0;;;
155;510562;;29/10/2024;;VelosoCoffee;Carmo do Paranaiba/MG;Tetis Dry;0;41;0;;;29/10/2024;09/12/2024;09/12/2024;;;;;Retirado, Ag. Envio;Fora do Prazo;;;;;;0;0;;;
156;510566;;24/08/2024;;Nkg;Varginha/MG;Tetis Dry;0;54;0;;;24/08/2024;17/10/2024;17/10/2024;;;;;Retirado, Ag. Envio;Fora do Prazo;;;;;;0;0;Porto de Antuérpia;Desembarcado;06/01/2025
157;510567;;17/09/2024;;Nkg;Varginha/MG;Tetis Dry;0;;;;;17/09/2024;;;;;;;Em viagem;Fora do Prazo;;;;;;0;0;;;
158;510568;;15/10/2024;;VelosoGreen;Carmo do Paranaiba/MG;Tetis Dry;0;67;2;;;15/10/2024;21/12/2024;23/12/2024;;;;;Retirado, Ag. Envio;Fora do Prazo;;;;;;0;0;Porto de Antuérpia;Desembarcado;01/01/2025
159;510571;;26/08/2024;;Cooxupe;Guaxupe/SP;Tetis Dry;0;74;0;;;26/08/2024;08/11/2024;08/11/2024;;;;;Retirado, Ag. Envio;Fora do Prazo;;;;;;0;0;;;
160;510574;;23/09/2024;;Nkg;Varginha/MG;Tetis Dry;0;;;;;23/09/2024;;;;;;;Em viagem;Fora do Prazo;;;;;;0;0;Porto de Antuérpia;Desembarcado;17/12/2024
161;510581;;14/10/2024;;CarmoCoffee;Tres Coraçoes/MG;Tetis Dry;0;65;45644;37,00;;14/10/2024;18/12/2024;18/12/2024;24/01/2025;;;;Em reversa para o Brasil;Fora do Prazo;;;;;;0;0;;;
162;510581;;27/06/2024;;Cooxupe;Guaxupe/SP;Tetis Dry;0;106;-274;;;27/06/2024;11/10/2024;11/01/2024;;;;;Retirado, Ag. Envio;Fora do Prazo;;;;;;0;0;;;
163;510585;;27/06/2024;;Cooxupe;Guaxupe/SP;Tetis Dry;0;91;18;;;27/06/2024;26/09/2024;14/10/2024;;;;;Retirado, Ag. Envio;Fora do Prazo;;;;;;0;0;Aguardando dados;;
164;510587;;30/08/2024;;Nkg;Varginha/MG;Tetis Dry;0;;;;;;;;;;;;Estoque Cliente;Fora do Prazo;;;;;;0;0;Porto de Antuérpia;Desembarcado;01/01/2025
165;510591;;08/11/2024;;Expocaccer;Patrocinio/MG;Tetis Dry;0;;;;;08/11/2024;;;;;;;Em viagem;Fora do Prazo;;;;;;0;0;;;
166;510596;;21/10/2024;;Nkg;Varginha/MG;Tetis Dry;0;;;;;21/10/2024;;;;;;;Em viagem;Fora do Prazo;;;;25/12/2024;19/01/2025;50;25;Porto de Antuérpia;Desembarcado;20/01/2025
167;510597;;19/11/2024;;VelosoGreen;Carmo do Paranaiba/MG;Tetis Dry;1;;;;;20/11/2024;;;;;;;Em viagem;Dentro do Prazo;;;;;;0;0;;;
168;510601;;19/08/2024;;Cooxupe;Guaxupe/SP;Tetis Dry;0;102;0;;;19/08/2024;29/11/2024;29/11/2024;;;;;Retirado, Ag. Envio;Fora do Prazo;;;;;;0;0;Porto de Barcelona;Desembarcado;12/08/2024
169;510602;;18/11/2024;;Nkg;Varginha/MG;Tetis Dry;0;;;;;18/11/2024;;;;;;;Em viagem;Dentro do Prazo;;;;;;0;0;;;
170;510603;;18/11/2024;;Nkg;Varginha/MG;Tetis Dry;0;;;;;18/11/2024;;;;;;;Em viagem;Dentro do Prazo;;;;;;0;0;Porto de Antuérpia;Desembarcado;27/01/2025
171;510609;;19/11/2024;;Nkg;Varginha/MG;Tetis Dry;0;;;;;19/11/2024;;;;;;;Em viagem;Dentro do Prazo;;;;;;0;0;;;
172;510611;;22/08/2024;;VelosoCoffee;Carmo do Paranaiba/MG;Tetis Dry;0;;;;;22/08/2024;;;;;;;Em viagem;Fora do Prazo;;;;;;0;0;;;
173;510615;;19/11/2024;;VelosoGreen;Carmo do Paranaiba/MG;Tetis Dry;1;;;;;20/11/2024;;;;;;;Em viagem;Dentro do Prazo;;;;;;0;0;;;
174;510617;;21/08/2024;;BourbonCoffe;Poços de Caldas/MG;Tetis Dry;0;63;30;12,00;135,00;21/08/2024;23/10/2024;22/11/2024;04/12/2024;03/01/2025;;;Reversa finalizada;Fora do Prazo;;;;;;0;0;;;
175;510619;;19/11/2024;;VelosoGreen;Carmo do Paranaiba/MG;Tetis Dry;1;;;;;20/11/2024;;;;;;;Em viagem;Dentro do Prazo;;;;;;0;0;;;
176;510622;;24/09/2024;;Nkg;Varginha/MG;Tetis Dry;0;;;;;24/09/2024;;;;;;;Em viagem;Fora do Prazo;;;;;;0;0;;;
177;510632;;18/11/2024;;Nkg;Varginha/MG;Tetis Dry;0;;;;;18/11/2024;;;;;;;Em viagem;Dentro do Prazo;;;;;;0;0;Porto de Antuérpia;Desembarcado;27/01/2025
178;510637;;19/11/2024;;VelosoGreen;Carmo do Paranaiba/MG;Tetis Dry;1;;;;;20/11/2024;;;;;;;Em viagem;Dentro do Prazo;;;;;;0;0;;;
179;510642;;24/09/2024;;Nkg;Varginha/MG;Tetis Dry;0;;;;;24/09/2024;;;;;;;Em viagem;Fora do Prazo;;;;;;0;0;;;
180;510644;;11/11/2024;;Nkg;Varginha/MG;Tetis Dry;0;;;;;11/11/2024;;;;;;;Em viagem;Fora do Prazo;;;;;;0;0;Porto de Barcelona;Desembarcado;14/01/2025
181;510646;;27/08/2024;;Nkg;Varginha/MG;Tetis Dry;0;79;1;;;27/08/2024;14/11/2024;15/11/2024;;;;;Retirado, Ag. Envio;Fora do Prazo;;;;;;0;0;Porto de Antuérpia;Desembarcado;18/12/2024
182;510648;;18/10/2024;;Nkg;Varginha/MG;Tetis Dry;0;;;;;18/10/2024;;;;;;;Em viagem;Fora do Prazo;;;;;;0;0;;;
183;510650;;19/08/2024;;Nkg;Varginha/MG;Tetis Dry;0;56;37;8,00;123,00;19/08/2024;14/10/2024;20/11/2024;28/11/2024;20/12/2024;;;Reversa finalizada;Fora do Prazo;;;;;;0;0;Porto de Antuérpia;Desembarcado;04/02/2025
184;510660;;19/11/2024;;VelosoGreen;Carmo do Paranaiba/MG;Tetis Dry;1;;;;;20/11/2024;;;;;;;Em viagem;Dentro do Prazo;;;;;;0;0;Porto de Antuérpia;Desembarcado;20/01/2025
185;510662;;14/11/2024;;Volcafe;Varginha/MG;Tetis Dry;0;55;2;14,00;;14/11/2024;08/01/2025;10/01/2025;24/01/2025;;;;Em reversa para o Brasil;Fora do Prazo;;;;;;0;0;Porto de Antuérpia;Desembarcado;20/01/2025
186;510663;;19/11/2024;;VelosoGreen;Carmo do Paranaiba/MG;Tetis Dry;1;;;;;20/11/2024;;;;;;;Em viagem;Dentro do Prazo;;;;;;0;0;Porto de Antuérpia;Desembarcado;20/01/2025
187;510664;;14/11/2024;;BourbonCoffe;Poços de Caldas/MG;Tetis Dry;0;;;;;14/11/2024;;;;;;;Em viagem;Fora do Prazo;;;;;;0;0;Aguardando dados;;
188;510666;;19/11/2024;;Expocaccer;Patrocinio/MG;Tetis Dry;0;;;;;19/11/2024;;;;;;;Em viagem;Dentro do Prazo;;;;;;0;0;;;
189;510670;;14/08/2024;;Nkg;Varginha/MG;Tetis Dry;0;113;0;;;14/08/2024;05/12/2024;05/12/2024;;;;;Retirado, Ag. Envio;Fora do Prazo;;;;;;;;;;
190;510671;;30/10/2024;;Nkg;Varginha/MG;Tetis Dry;0;48;1;37,00;;30/10/2024;17/12/2024;18/12/2024;24/01/2025;;;;Em reversa para o Brasil;Fora do Prazo;;;;;;;;;;
191;510673;;19/11/2024;;Expocaccer;Patrocinio/MG;Tetis Dry;0;;;;;19/11/2024;;;;;;;Em viagem;Dentro do Prazo;;;;;;;;;;
192;510676;;29/10/2024;;Nkg;Varginha/MG;Tetis Dry;0;48;3;;;29/10/2024;16/12/2024;19/12/2024;;;;;Retirado, Ag. Envio;Fora do Prazo;;;;;;;;;;
193;510680;;02/10/2024;;Nkg;Varginha/MG;Tetis Dry;0;75;0;;;02/10/2024;16/12/2024;16/12/2024;;;;;Retirado, Ag. Envio;Fora do Prazo;;;;;;;;;;
194;510688;;19/08/2024;;Cooxupe;Guaxupe/SP;Tetis Dry;0;2;;;;19/08/2024;21/08/2024;;;;;;No destino;Fora do Prazo;;;;;;;;;;
195;510693;;14/11/2024;;BourbonCoffe;Poços de Caldas/MG;Tetis Dry;0;;;;;14/11/2024;;;;;;;Em viagem;Fora do Prazo;;;;;;;;;;
196;510694;;14/10/2024;;CarmoCoffee;Tres Coraçoes/MG;Tetis Dry;0;65;0;37,00;;14/10/2024;18/12/2024;18/12/2024;24/01/2025;;;;Em reversa para o Brasil;Fora do Prazo;;;;;;;;;;
197;510699;;27/08/2024;;Nkg;Varginha/MG;Tetis Dry;0;70;0;;;27/08/2024;05/11/2024;05/11/2024;;;;;Retirado, Ag. Envio;Fora do Prazo;;;;;;;;;;
